TempK,brate,mat,jmort,amort,fec,plotmat
288,0.068552775,0.0281,0.037790951,0.00269438,6.3,0.0281
291,0.094688222,0.11983,0.028165977,0.002291504,12.3,0.11983
294,0.343725643,0.18768,0.042143506,0.002870515,44.1,0.18768
297,0.787311492,0.26638,0.054693435,0.005535186,75.7,0.26638
300,0.848018924,0.36364,0.039569457,0.004537789,71.7,0.36364
302,0.319461857,0.47869,0.059092618,0.018828537,26.5,0.47869
306,0.145376098,0.34849,0.199100064,0.020071757,4.8182,0.34849
308,0.193190657,NA,NA,NA,7.7,NA
