TempK,brate,mat,jmort,amort,fec,plotmat
291,0.06565788,0.014417532,0.030312098,NA,7.29532,0.125
293,0.582295833,0.019083969,0.015460565,0.041666667,13.9751,0.145985401
296,4.02792,0.03203075,0.022953472,0.020000000,201.396,0.276243094
298,8.42795756,0.037495313,0.012867748,0.026525199,317.734,0.326797386
301,6.44508,0.04302926,0.018901906,0.030000000,214.836,0.348432056
303,9.442329749,0.050200803,0.011869261,0.035842294,263.441,0.409836066
305,3.3003315,0.058377116,0.075303518,0.045000000,73.3407,0.45045045
307,1.572857143,0.063572791,0.144420606,0.084033613,18.717,0.458715596
309,0,NA,NA,NA,0,NA
